text,intent,tags
tôi muốn bay một chuyến khứ_hồi từ đà_nẵng đến đà_lạt,flight,O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name
giá vé khứ_hồi từ đà_nẵng đến vinh dưới 2 triệu đồng giá vé khứ_hồi từ quy nhơn đến vinh dưới 3 triệu đồng giá vé khứ_hồi từ buôn_ma_thuột đến vinh dưới 4 triệu rưỡi,airfare,O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount O O B-round_trip O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-cost_relative B-fare_amount I-fare_amount I-fare_amount
cho tôi biết các chuyến bay đến đà_nẵng vào ngày 14 tháng sáu,flight,O O O O O O O B-toloc.city_name O B-arrive_date.day_number I-arrive_date.day_number B-arrive_date.month_name I-arrive_date.month_name
những chuyến bay nào khởi_hành từ thành_phố hồ_chí_minh bay đến frankfurt mà nối chuyến ở singapore và hạ_cánh trước 9 giờ tối,flight,O O O O O O B-fromloc.city_name I-fromloc.city_name O O B-toloc.city_name O O O O B-stoploc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
hãng hàng_không nào có đường_bay từ thượng hải đến washington dc mà cần nối chuyến qua các thành_phố khác,airline,O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O O O
tôi đang tìm một chuyến bay từ hà_nội đến amsterdam có trạm dừng ở bangkok và hy_vọng là chuyến bay có phục_vụ bữa tối làm_sao tôi có_thể tìm ra nó,flight,O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O O O O O O B-meal_description I-meal_description O O O O O O
"được rồi , giờ thì cho tôi biết các chuyến bay từ buôn_ma_thuột đến hạ_long vào ngày mùng 4 tháng 9",flight,O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_number I-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name
cho tôi biết tất_cả các chuyến bay từ huế đến quy nhơn,flight,O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
"ok , tôi muốn một chuyến bay của vietnam airlines từ hạ_long đến đà_lạt vào buổi chiều , có chuyến bay nào còn chỗ không",flight,O O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day O O O O O O O O
vào thứ ba có chuyến bay nào rời hải_phòng đến nha_trang khánh_hoà và khởi_hành sau giữa trưa không,flight,O B-depart_date.day_name I-depart_date.day_name O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O
